,date,variable,value
157,2017-04,3,0.10737035297515979
158,2017-05,3,0.0949957787717892
159,2017-06,3,0.32535770846679163
160,2014-03,4,0.0
161,2014-04,4,0.0749431192616738
162,2014-05,4,0.10920877723752845
163,2014-06,4,0.09914261668007775
164,2014-07,4,0.07964574010840615
165,2014-08,4,0.10281524565072168
166,2014-09,4,0.1009567923881242
167,2014-10,4,0.08143135546163544
168,2014-11,4,0.1966843975909994
169,2014-12,4,0.11645701316916186
170,2015-01,4,0.12927204101252524
171,2015-02,4,0.1713338324775499
172,2015-03,4,0.3085188257786272
173,2015-04,4,0.08358927008405573
174,2015-05,4,0.24405627314139694
175,2015-06,4,0.07563107546316386
176,2015-07,4,0.12525898881958253
177,2015-08,4,0.07045820407701334
178,2015-09,4,0.12744853749896695
